question_id,question,answer,source_id
1,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
2,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
3,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
4,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
5,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
6,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
7,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
8,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
9,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
10,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
11,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
12,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
13,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
14,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
15,วิธีการยื่นใบลาอย่างไร?,สามารถยื่นใบลาได้ผ่านระบบออนไลน์ของบริษัทหรือแจ้งหัวหน้างาน,0
16,วันหยุดนักขัตฤกษ์ในบริษัทนี้มีกี่วันต่อปี?,มีประมาณ 13 วันต่อปี,0
17,วิธีการขอเบิกค่าใช้จ่ายอย่างไร?,สามารถยื่นขอเบิกค่าใช้จ่ายได้ผ่านระบบหรือกรอกแบบฟอร์มที่แผนกบัญชี,0
18,พนักงานสามารถทำงานจากที่บ้านได้หรือไม่?,บริษัทอนุญาตให้ทำงานจากที่บ้านได้บางส่วนขึ้นอยู่กับนโยบาย,0
19,สิทธิ์ลาคลอดบุตรของพนักงานหญิงคือกี่วัน?,พนักงานหญิงมีสิทธิ์ลาคลอดบุตรได้ 90 วัน,0
20,การประเมินผลการทำงานมีความถี่กี่ครั้งต่อปี?,บริษัททำการประเมินผลการทำงานปีละ 2 ครั้ง,0
21,การลางานต้องแจ้งล่วงหน้ากี่วัน?,โดยปกติควรแจ้งล่วงหน้าอย่างน้อย 3 วันทำการ,0
22,ประกันสังคมครอบคลุมสิทธิ์อะไรบ้าง?,ประกันสังคมครอบคลุมการรักษาพยาบาล การว่างงาน และเงินบำเหน็จบำนาญ,0
23,เวลาทำงานมาตรฐานของบริษัทคือกี่ชั่วโมงต่อวัน?,เวลาทำงานมาตรฐานคือ 8 ชั่วโมงต่อวัน,0
24,พนักงานใหม่มีช่วงทดลองงานนานเท่าไร?,โดยทั่วไปช่วงทดลองงานมีระยะเวลา 3-6 เดือน,0
